mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
44,3.5499999999992724,83,233,33,67,300,3,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9261595739179898,0.9630797869589949,0.261876222136032,0.8787878787878788,0.7313432835820896,0.6170212765957447,0.78,0.26551811145465803,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
45,4.860000000000582,83,233,33,67,100,7,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.262102424284698,0.8484848484848485,0.835820895522388,0.717948717948718,0.84,0.26655239344822207,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
46,5.170000000000073,83,233,33,67,300,7,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.262102424284698,0.8484848484848485,0.835820895522388,0.717948717948718,0.84,0.26655239344822207,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
47,5.959999999999127,83,233,33,67,100,10,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.26199401904163,0.8787878787878788,0.8208955223880597,0.7073170731707317,0.84,0.2665507560855793,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
48,5.920000000000073,83,233,33,67,300,10,1,bernoulli,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.26199401904163,0.8787878787878788,0.8208955223880597,0.7073170731707317,0.84,0.2665507560855793,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
49,3.180000000000291,83,233,33,67,100,1,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.68069703707534,0.84034851853767,0.27005650504614,0.6363636363636364,0.7910447761194029,0.6,0.74,Inf,0.24242424242424243,0.9402985074626866,0.6666666666666666,0.71
50,3.1599999999998545,83,233,33,67,300,1,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.68069703707534,0.84034851853767,0.27005650504614,0.6363636363636364,0.7910447761194029,0.6,0.74,Inf,0.24242424242424243,0.9402985074626866,0.6666666666666666,0.71
51,3.1700000000000728,83,233,33,67,100,3,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.8767774962510988,0.9383887481255494,0.240722608108888,0.9393939393939394,0.6716417910447762,0.5849056603773585,0.76,0.3159155670295779,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
52,3.109999999998763,83,233,33,67,300,3,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.8767774962510988,0.9383887481255494,0.240722608108888,0.9393939393939394,0.6716417910447762,0.5849056603773585,0.76,0.3159155670295779,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
53,3.3099999999994907,83,233,33,67,100,7,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9885206060292673,0.9942603030146336,0.259400786701874,0.6666666666666666,0.9104477611940298,0.7857142857142857,0.83,0.3519980428570749,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
54,3.3000000000010914,83,233,33,67,300,7,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9885206060292673,0.9942603030146336,0.259400786701874,0.6666666666666666,0.9104477611940298,0.7857142857142857,0.83,0.3519980428570749,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
55,3.279999999998836,83,233,33,67,100,10,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9921402347587778,0.9960701173793889,0.255702323851138,0.696969696969697,0.9253731343283582,0.8214285714285714,0.85,0.34694722724709515,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
56,3.350000000000364,83,233,33,67,300,10,1,bernoulli,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9921402347587778,0.9960701173793889,0.255702323851138,0.696969696969697,0.9253731343283582,0.8214285714285714,0.85,0.34694722724709515,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
57,3.0499999999992724,83,233,33,67,100,1,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.6437768240343347,0.8218884120171673,0.264265464921472,0.6363636363636364,0.7164179104477612,0.525,0.69,Inf,0.45454545454545453,0.8805970149253731,0.6521739130434783,0.74
58,1.7999999999992724,83,233,33,67,300,1,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.6437768240343347,0.8218884120171673,0.264265464921472,0.6363636363636364,0.7164179104477612,0.525,0.69,Inf,0.45454545454545453,0.8805970149253731,0.6521739130434783,0.74
