mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
50,5.405999999999949,317,340,108.99999999999999,100,100,20,1,4,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8823954437266235,0.9411977218633117,0.508151105465324,0.8899082568807339,0.9,0.9065420560747663,0.8947368421052632,0.7717020249631863,0.42201834862385323,0.99,0.9787234042553191,0.69377990430622
51,2.3589999999999236,317,340,108.99999999999999,100,50,3,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.5992349540972457,0.7996174770486228,0.401120379143956,0.7981651376146789,0.69,0.7372881355932204,0.7464114832535885,0.7479867956381014,0.1559633027522936,0.99,0.9444444444444444,0.5550239234449761
52,4.369000000000142,317,340,108.99999999999999,100,100,3,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.6134563073784427,0.80672815368922135,0.368352900524809,0.8440366972477065,0.64,0.71875,0.7464114832535885,0.7308771828717292,0.1651376146788991,0.99,0.9473684210526315,0.5598086124401914
53,2.367000000000189,317,340,108.99999999999999,100,50,7,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7958432505950357,0.8979216252975178,0.428592934463206,0.8807339449541285,0.84,0.8571428571428571,0.861244019138756,0.7813559958579311,0.3853211009174312,0.99,0.9767441860465116,0.6746411483253588
54,5.592000000000098,317,340,108.99999999999999,100,100,7,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8150119007140428,0.9075059503570214,0.39222159271028,0.9174311926605505,0.81,0.8403361344537815,0.8660287081339713,0.7214488173004026,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
55,3.4169999999999163,317,340,108.99999999999999,100,50,10,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8608721523291398,0.9304360761645699,0.430091968839934,0.908256880733945,0.84,0.8608695652173913,0.8755980861244019,0.714598898769214,0.5779816513761468,0.99,0.984375,0.7751196172248804
56,5.378999999999905,317,340,108.99999999999999,100,100,10,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8766065963957839,0.9383032981978919,0.439722205319397,0.908256880733945,0.86,0.8761061946902655,0.8851674641148325,0.7174616001717685,0.5504587155963303,0.99,0.9836065573770492,0.7607655502392344
57,3.3960000000001855,317,340,108.99999999999999,100,50,15,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8749404964297856,0.9374702482148928,0.370785557829049,0.9541284403669725,0.79,0.832,0.8755980861244019,0.7199497451395187,0.6055045871559633,0.99,0.9850746268656716,0.7894736842105263
58,6.4090000000001055,317,340,108.99999999999999,100,100,15,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8922050323019382,0.9461025161509691,0.438345457824806,0.9174311926605505,0.86,0.8771929824561403,0.8899521531100478,0.754132295238978,0.5229357798165137,0.99,0.9827586206896551,0.7464114832535885
59,3.380999999999858,317,340,108.99999999999999,100,50,20,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8763600816048962,0.9381800408024481,0.379186602870813,0.9541284403669725,0.8,0.8387096774193549,0.8803827751196173,0.7281189555125726,0.5779816513761468,0.99,0.984375,0.7751196172248804
