ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
FRD,2012,2012.4,10.240645161290322,0.3511567347399908,-5.63159457936515e-4,0.01561168334391336,0.19032258064516125,15417.741935483871,8.6,0.41,0.98,14.83,0.12,1.02,5,1.02,1,0.09960309960309961
FRD,2012,2012.4,10.240645161290322,0.3511567347399908,-5.63159457936515e-4,0.01561168334391336,0.19032258064516125,15417.741935483871,8.6,0.41,0.98,14.83,0.12,1.02,5,1.02,1,0.09960309960309961
FRD,2013,2013.1,10.928,0.37698086990083013,9.966664603216577e-4,0.014811506421339627,0.2286666666666667,24198.333333333332,9.89,0.44,0.96,5.48,0.22,0.37,4,1.6400000000000001,1,0.03385797950219619
FRD,2013,2013.2,9.694375,0.1700221740907335,4.7100575509522987e-4,0.013403152634887313,0.18593749999999984,15434.375,12.52,0.48,0.96,5.81,0.11,0.37,4,1.76,1,0.03816646251047643
FRD,2013,2013.3,9.92046875,0.16178988615455772,0.00190062851840473,0.010952254726142786,0.18500000000000003,14106.25,19.35,0.52,0.99,0,0.16,0.37,4,1.83,1,0.03729662471846404
FRD,2013,2013.4,9.38890625,0.685878227860005,-6.68721810566658e-4,0.015131319842860097,0.20234375000000016,24782.8125,21.06,0.46,0.84,17.29,0.14,0.37,4,1.87,1,0.039408211153455705
FRD,2014,2014.1,8.464426229508197,0.19954552187545196,8.872270057985635e-4,0.014626236565662169,0.22377049180327876,19572.131147540982,30.98,0.45,0.83,53.31,0.14,0.08,4,1.87,1,0.009451319892316928
FRD,2014,2014.2,8.35095238095238,0.11979437067007623,0.0016512489696673802,0.011199990208228185,0.17015873015873045,12887.301587301587,70.75,0.46,0.84,0,0.12,0.08,4,1.78,1,0.009579745680561101
FRD,2014,2014.3,8.35734375,0.22838454196362865,0.0023280056743824854,0.009949805038760645,0.13374999999999995,11746.875,33.32,0.42,0.78,0,0.12,0.08,4,1.69,1,0.009572419466412399
FRD,2014,2014.4,7.56296875,0.3189500617104179,-0.002522597679816306,0.015794994836907557,0.20140625000000006,15326.5625,36.05,0.38,0.69,0,0.24,0.08,4,1.58,1,0.010577856744416669
FRD,2015,2015.1,6.436065573770492,0.18793863083929457,-0.0016394126549881885,0.01491077496013529,0.17704918032786895,17455.737704918032,115.14,0.36,0.62,0,0.06,0.05,4,1.47,1,0.007768721344880286
FRD,2015,2015.2,6.49952380952381,0.18240710027412513,0.002273952964691737,0.014156251747430394,0.1049206349206349,10220.63492063492,38.75,0.38,0.62,0,0.05,0.05,4,1.36,1,0.007692871272620705
FRD,2015,2015.3,6.01828125,0.18979148698439047,0.0029518419531135345,0.01772521175724162,0.14578125000000003,7751.5625,0,0.4,0.6,0,0.06,0.05,4,1.24,1,0.008308019835397357
FRD,2015,2015.4,5.90796875,0.17214039754878563,0.002404005277470131,0.013806402542125356,0.1029687500000001,5351.5625,103.19,0.39,0.55,0,0.09,0.05,4,1.12,1,0.008463145645447092
FRD,2016,2016.1,5.126393442622951,0.4293329430130935,0.001554828400305599,0.019917083358135954,0.12868852459016397,5596.7213114754095,126.69,0.42,0.54,38.22,0.06,0.04,4,0.5,1,0.007802756547600013
FRD,2016,2016.2,5.9340625000000005,0.16395623448163488,0.0018488025042290516,0.015338050734125561,0.13265624999999998,5217.1875,0,0.46,0.6,0,0.07,0.04,4,0.38,1,0.00674074464163463
FRD,2016,2016.3,5.64234375,0.17272551109358358,-0.0017710757396170228,0.0105302381262022,0.08374999999999996,5712.5,0,0.46,0.56,6.01,0.06,0.04,4,0.31,1,0.007089252582315637
FRD,2016,2016.4,5.613333333333333,0.4775745170702042,0.0024350870732270584,0.02213796541868888,0.13841269841269843,17342.85714285714,0,0.59,0.7,23.75,0.05,0.04,4,0.24,1,0.007125890736342043
FRD,2017,2017.1,6.656290322580645,0.21432497059271086,0.0022871821183686825,0.02669856997765126,0.28645161290322585,47943.54838709677,0,0.53,0.7,0,0.05,0.04,4,0.17,1,0.006009353267585839
FRD,2017,2017.2,5.815714285714286,0.4395148141865083,-0.0033202283431519597,0.02109871759542793,0.21158730158730166,50925.39682539683,0,0.47,0.6,10.89,0.14,0.04,4,0.16,1,0.006877916973716531
FRD,2017,2017.3,5.6066666666666665,0.2221014008466955,9.468582822789035e-4,0.021268798468755283,0.20079365079365089,20723.809523809523,0,0.47,0.67,0,0.14,0.04,4,0.15,1,0.007134363852556481
FRD,2017,2017.4,5.771904761904762,0.2661424378693165,-6.33866352516596e-4,0.015624319048257774,0.14460317460317462,28496.825396825396,268.65,0.38,0.62,0,0.18,0.04,4,0.14,1,0.00693012127712235
FRD,2018,2018.1,5.821639344262295,0.378466996922536,0.0023811077763122726,0.030840500489080793,0.24000000000000005,19608.196721311477,14.26,0.32,0.57,13.46,0.19,0.12,4,0.13,1,0.020612750619508898
FRD,2018,2018.2,6.19546875,0.32618005392630167,0.005791565236239285,0.022962587069315282,0.23328125000000005,18685.9375,8.75,0.37,0.75,0,0.33,0.12,4,0.12,1,0.019368994476810168
FRD,2018,2018.3,9.770793650793651,0.780835577230389,0.0012416785329830505,0.02688508181986851,0.4707936507936508,76877.77777777778,7.95,0.36,0.85,63.82,0.23,0.12,4,0.13,1,0.012281499772564817
FRD,2018,2018.4,8.31047619047619,0.6916726537227231,-0.005715379452375815,0.030901274647517143,0.4619047619047619,20711.11111111111,5.64,0.25,0.64,9.36,0.27,0.12,4,0.15,1,0.01443960577584231
FRD,2019,2019.1,7.756393442622951,0.24310514040146808,0.0014326007262730452,0.029793482072238583,0.32524590163934425,20588.524590163935,10.31,0.28,0.71,5.9,0.2,0.16,4,0.2,1,0.02062814388975779
FRD,2019,2019.2,7.3468253968253965,0.3799058686332937,-0.0041186609584652634,0.02216879631922033,0.22587301587301595,11428.57142857143,28.21,0.26,0.65,5.36,0.15,0.16,4,0.25,1,0.02177811385978179
FRD,2019,2019.3,6.2128125,0.16498647130684907,-6.417674260200341e-4,0.023701453971103043,0.21140625000000002,10381.25,0,0.27,0.63,2.6,0.16,0.16,4,0.27999999999999997,1,0.02575323172878628
FRD,2019,2019.4,6.39484375,0.3432616299952328,-5.131855419135521e-4,0.013149155890167569,0.13406250000000008,10950,0,0.27,0.59,1.98,0.2,0.16,4,0.31,1,0.02502015784201139
FRD,2020,2020.1,5.408387096774193,0.6807305466980503,-0.0011131777997194041,0.02743970453074653,0.18500000000000003,10061.290322580646,0,0.21,0.46,4.83,0.16,0.08,4,0.32,1,0.014791840629846119
FRD,2020,2020.2,4.608412698412699,0.25916868556614825,-0.0074252662405976996,0.035356713902113104,0.25809523809523816,11482.539682539682,0,0.28,0.54,10.05,0.08,0.08,4,0.33,1,0.017359556366892844
FRD,2020,2020.3,5.49328125,0.42759962985528993,-4.903438314252118e-4,0.026586018958680766,0.18703125000000004,12684.375,0,0.37,0.62,0,0.12,0.08,4,0.34,1,0.014563244872998265
FRD,2020,2020.4,6.20890625,0.5356293351957324,-0.0031866150540493052,0.018069359905676725,0.17296875,11342.1875,0,0.44,0.69,0,0.14,0.08,4,0.35,1,0.01288471701436948
FRD,2021,2021.2,8.336,0.1101362792180668,-0.0018238725983126488,0.01224401547688216,0.16799999999999998,15380,0,0.54,0.85,0,NA,0.02,1,0,1,0.0023992322456813818
GGB,2006,2006.4,7.628015873015873,0.38331379767224544,0.001388392930363177,0.015330620174966147,0.18031746031746027,2446873.015873016,9.48,0.47,0.58,6.65,1.94,0,0,0,0,0
GGB,2007,2007.1,8.492377049180329,0.5418483848191739,0.0014559379389323512,0.018350150721231855,0.25032786885245895,3620216.393442623,6.23,0.52,1.73,9.14,1.79,0.15000000000000002,2,0,1,0.017662899224955845
GGB,2007,2007.2,10.91015873015873,1.041421937457492,0.002838772400668782,0.019872510653955622,0.3199206349206349,3867720.634920635,8.9,0.72,2.25,9.78,1.71,0.15000000000000002,2,0,1,0.01374865423225769
GGB,2007,2007.3,12.355634920634921,1.0574583390190275,-5.579656538260717e-4,0.019348716776554812,0.4504761904761904,5180022.222222222,8.41,0.7,2.12,6.89,2.34,0.15000000000000002,2,0.08,1,0.01214020978796385
GGB,2007,2007.4,14.419453125,0.6450077624655948,-0.0028295396349594143,0.02216254567242333,0.560546875,4824100,6.49,0.64,2.21,2.7,2.28,0.15000000000000002,2,0,1,0.010402613656681242
GGB,2008,2008.1,14.641557459016393,1.4178245977765322,0.0016684979362936755,0.030358841081703062,0.6844262131147542,6678298.360655738,8.2,0.63,2.22,2.76,2.18,0.22,1,0,1,0.015025723910574976
GGB,2008,2008.2,21.923906296875,2.956872428052862,0.0020057196861450115,0.024477302724377523,0.8318750937500001,5890346.875,9.76,0.91,2.69,6.15,1.85,0.22,1,0,1,0.010034708095398057
GGB,2008,2008.3,17.916093625,3.507363894099844,-0.007815643529766197,0.04083227964637445,1.0573438593749998,7037101.5625,4.21,0.38,1.36,2.75,1.94,0.22,1,0.15000000000000002,1,0.012279462510343966
GGB,2008,2008.4,6.37828125,1.0613282404273296,-0.0029087577263054274,0.07523808880085883,0.77484375,8148575,3.41,0.33,0.56,15.32,1.36,0.22,1,0,1,0.03449205066019941
GGB,2009,2009.1,6.215573770491804,1.016980046658019,5.583715212798021e-4,0.04383001796584843,0.4162295081967212,8438606.55737705,3.51,0.3,0,21.55,1.29,0.06,2,0.37,1,0.00965317156798101
GGB,2009,2009.2,8.763015873015872,1.7337295571003393,0.0075907569199780795,0.03366202010050743,0.4431746031746031,7916015.873015873,21.31,0.69,0,5.11,1.21,0.06,2,0,1,0.006846957813320775
GGB,2009,2009.3,11.85375,1.11044464138799,0.002582495730986003,0.02207763807376915,0.428125,6326403.125,65.99,1.12,1.36,5.87,1.08,0.06,2,0,1,0.00506168933881683
GGB,2009,2009.4,16.29453128125,0.9974458602438065,9.540895205119186e-4,0.024338182708634647,0.6124998750000004,6861057.8125,29.76,1.47,1.83,7.92,1.03,0.06,2,0.39,1,0.0036822169944244775
GGB,2010,2010.1,15.16327868852459,1.2235382248646822,-0.0017871553254172742,0.02019249845288122,0.49131149180327877,7380295.081967213,21.15,1.36,1.56,8.28,1.01,0.07,1,0,1,0.004616415845009514
GGB,2010,2010.2,14.95793642857143,1.755536945088621,-0.00317371601224394,0.025177055005605287,0.5938094920634918,7962980.952380952,10.85,0.99,1.23,7.96,0.99,0.07,1,0,1,0.00467978991181509
GGB,2010,2010.3,14.12953125,0.623717553312013,-2.6251515710061204e-4,0.01715041172602776,0.36671875,5341345.3125,11.38,0.97,0,8.86,1.11,0.07,1,0.35000000000000003,1,0.004954162934456868
GGB,2010,2010.4,13.12203125,0.5769877435013622,5.677509204646222e-4,0.013271627297402043,0.33234375000000005,6181234.375,13.63,0.95,0,10.44,1.13,0.07,1,0,1,0.005334539955466118
